"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31225","Beta 2 - Test send message","","Wed Jul 23 02:03:22 UTC 2025","passed","Wed Jul 23 02:03:53 UTC 2025","","DeviceFarm","",""
"","17650","Beta 3 - Test record video","","Wed Jul 23 02:03:53 UTC 2025","passed","Wed Jul 23 02:04:11 UTC 2025","","DeviceFarm","",""
"Test Enable wifi settings","39165","Beta 1 - Test Enable wifi settings","","Wed Jul 23 02:02:43 UTC 2025","passed","Wed Jul 23 02:03:22 UTC 2025","","DeviceFarm","",""
"This test only available for android 14","13207","Beta 4 - This test only available for android 14","","Wed Jul 23 02:04:11 UTC 2025","passed","Wed Jul 23 02:04:24 UTC 2025","","DeviceFarm","",""
"This test only available for android 15","3557","Beta 5 - This test only available for android 15","","Wed Jul 23 02:04:24 UTC 2025","skipped","Wed Jul 23 02:04:28 UTC 2025","","DeviceFarm","",""
