"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16782","Beta 5 - This test only available for android 15","","Tue Jul 08 06:34:59 UTC 2025","passed","Tue Jul 08 06:35:16 UTC 2025","","DeviceFarm","",""
"","6192","Beta 4 - This test only available for android 14","","Tue Jul 08 06:34:53 UTC 2025","skipped","Tue Jul 08 06:34:59 UTC 2025","","DeviceFarm","",""
"","48877","Beta 1 - Test Enable wifi settings","","Tue Jul 08 06:34:04 UTC 2025","failed","Tue Jul 08 06:34:53 UTC 2025","","DeviceFarm","",""
