"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16952","Beta 3 - Test record video","","Wed Jul 23 02:03:40 UTC 2025","passed","Wed Jul 23 02:03:57 UTC 2025","","DeviceFarm","",""
"This test only available for android 15","13485","Beta 5 - This test only available for android 15","","Wed Jul 23 02:04:00 UTC 2025","passed","Wed Jul 23 02:04:14 UTC 2025","","DeviceFarm","",""
"This test only available for android 14","3611","Beta 4 - This test only available for android 14","","Wed Jul 23 02:03:57 UTC 2025","skipped","Wed Jul 23 02:04:00 UTC 2025","","DeviceFarm","",""
"Test Enable wifi settings","43197","Beta 1 - Test Enable wifi settings","","Wed Jul 23 02:02:20 UTC 2025","passed","Wed Jul 23 02:03:03 UTC 2025","","DeviceFarm","",""
"","36912","Beta 2 - Test send message","","Wed Jul 23 02:03:03 UTC 2025","passed","Wed Jul 23 02:03:40 UTC 2025","","DeviceFarm","",""
